file_stem,file_name,relative_path,level_1_dir,level_2_dir,level_3_dir,quality_label,quality_reason,visible_chars,chinese_chars,english_chars,digits,abnormal_chars,punctuation_noise,garbled_segments,chinese_ratio,abnormal_ratio,noise_ratio,json_path
GB 50150-2016 电气装置安装工程电气设备交接试验标准,GB 50150-2016 电气装置安装工程电气设备交接试验标准.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\GB 50150-2016 电气装置安装工程电气设备交接试验标准.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,GB 50150-2016 电气装置安装工程电气设备交接试验标准.pdf,low_quality,garbled_or_noisy,76491,56381,4945,6891,119,0,38,0.7371,0.0016,0.0016,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\GB 50150-2016 电气装置安装工程电气设备交接试验标准.json
GB∕T 25385-2019 风力发电机组 运行及维护要求,GB∕T 25385-2019 风力发电机组 运行及维护要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\GB∕T 25385-2019 风力发电机组 运行及维护要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,GB∕T 25385-2019 风力发电机组 运行及维护要求.pdf,low_quality,garbled_or_noisy,6063,97,1591,690,179,0,12,0.016,0.0295,0.0295,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\GB∕T 25385-2019 风力发电机组 运行及维护要求.json
2018（306号OA）附件1：中国华能集团有限公司风力发电场电测监督标准（2018版）,2018（306号OA）附件1：中国华能集团有限公司风力发电场电测监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\2018（306号OA）附件1：中国华能集团有限公司风力发电场电测监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,反措、行业发文,high_quality,readable_chinese_text,24978,19306,700,2179,7,0,0,0.7729,0.0003,0.0003,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\2018（306号OA）附件1：中国华能集团有限公司风力发电场电测监督标准（2018版）.json
QGDW 439-2010 多功能电测计量检验装置校准规范,QGDW 439-2010 多功能电测计量检验装置校准规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\QGDW 439-2010 多功能电测计量检验装置校准规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,反措、行业发文,high_quality,readable_chinese_text,315,257,0,20,2,0,0,0.8159,0.0063,0.0063,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\QGDW 439-2010 多功能电测计量检验装置校准规范.json
Q_GDW 140-2006 交流采样测量装置运行检验管理规程,Q_GDW 140-2006 交流采样测量装置运行检验管理规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\Q_GDW 140-2006 交流采样测量装置运行检验管理规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,反措、行业发文,high_quality,readable_chinese_text,12583,9188,687,1118,22,0,0,0.7302,0.0017,0.0017,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\Q_GDW 140-2006 交流采样测量装置运行检验管理规程.json
关于企业使用的非强检计量器具由企业依法自主管理的公告,关于企业使用的非强检计量器具由企业依法自主管理的公告.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\关于企业使用的非强检计量器具由企业依法自主管理的公告.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,反措、行业发文,high_quality,readable_chinese_text,482,432,0,11,0,0,0,0.8963,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\关于企业使用的非强检计量器具由企业依法自主管理的公告.json
水利电力部门电测、热工计量仪表和装置检定、管理的规定（国务院国函【1986】59号,水利电力部门电测、热工计量仪表和装置检定、管理的规定（国务院国函【1986】59号.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\水利电力部门电测、热工计量仪表和装置检定、管理的规定（国务院国函【1986】59号.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,反措、行业发文,high_quality,readable_chinese_text,1162,1035,3,27,0,0,0,0.8907,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\反措、行业发文\水利电力部门电测、热工计量仪表和装置检定、管理的规定（国务院国函【1986】59号.json
DLT 732-2000 电能表测量用光电采样器,DLT 732-2000 电能表测量用光电采样器.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\DLT 732-2000 电能表测量用光电采样器.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,设计、选型、制造,mixed_quality,partially_readable,6264,4416,431,680,0,0,4,0.705,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\DLT 732-2000 电能表测量用光电采样器.json
DL_T 614-2007 多功能电能表,DL_T 614-2007 多功能电能表.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\DL_T 614-2007 多功能电能表.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,设计、选型、制造,high_quality,readable_chinese_text,11264,7807,858,1225,2,0,0,0.6931,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\DL_T 614-2007 多功能电能表.json
GBT 13850-1998 交流电量转换为模拟量或数字信号的电测量变送器,GBT 13850-1998 交流电量转换为模拟量或数字信号的电测量变送器.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\GBT 13850-1998 交流电量转换为模拟量或数字信号的电测量变送器.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,设计、选型、制造,high_quality,readable_chinese_text,11595,11595,0,0,0,0,0,1.0,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\GBT 13850-1998 交流电量转换为模拟量或数字信号的电测量变送器.json
JJF 1094-2002 测量仪器特性评定,JJF 1094-2002 测量仪器特性评定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\JJF 1094-2002 测量仪器特性评定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,设计、选型、制造,high_quality,readable_chinese_text,9367,6722,780,765,6,0,0,0.7176,0.0006,0.0006,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\设计、选型、制造\JJF 1094-2002 测量仪器特性评定.json
DLT 5137-2001 电测量及电能计量装置设计技术规程,DLT 5137-2001 电测量及电能计量装置设计技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\DLT 5137-2001 电测量及电能计量装置设计技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,high_quality,readable_chinese_text,36317,26667,2292,2906,2,0,1,0.7343,0.0001,0.0001,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\DLT 5137-2001 电测量及电能计量装置设计技术规程.json
JJF 1033-2023 计量标准考核规范,JJF 1033-2023 计量标准考核规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJF 1033-2023 计量标准考核规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,low_quality,garbled_or_noisy,36599,593,1529,1319,0,0,0,0.0162,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJF 1033-2023 计量标准考核规范.json
JJG 1189.3-2022 测量用互感器 第3部分：电力电流互感器 高清晰版,JJG 1189.3-2022 测量用互感器 第3部分：电力电流互感器 高清晰版.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 1189.3-2022 测量用互感器 第3部分：电力电流互感器 高清晰版.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,mixed_quality,partially_readable,11081,7232,1069,1112,26,0,4,0.6526,0.0023,0.0023,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 1189.3-2022 测量用互感器 第3部分：电力电流互感器 高清晰版.json
JJG 1189.4-2022 测量用互感器 第4部分：电力电压互感器,JJG 1189.4-2022 测量用互感器 第4部分：电力电压互感器.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 1189.4-2022 测量用互感器 第4部分：电力电压互感器.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,mixed_quality,partially_readable,12525,8262,1326,1255,20,0,4,0.6596,0.0016,0.0016,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 1189.4-2022 测量用互感器 第4部分：电力电压互感器.json
JJG 126-2022 工频交流电量测量变送器,JJG 126-2022 工频交流电量测量变送器.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 126-2022 工频交流电量测量变送器.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,mixed_quality,partially_readable,16002,10138,1948,1352,26,0,5,0.6335,0.0016,0.0016,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 126-2022 工频交流电量测量变送器.json
JJG 596-2012 电子式交流电能表,JJG 596-2012 电子式交流电能表.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 596-2012 电子式交流电能表.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,mixed_quality,partially_readable,15829,8195,2364,1686,80,0,3,0.5177,0.0051,0.0051,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\JJG 596-2012 电子式交流电能表.json
中华人民共和国计量法,中华人民共和国计量法.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\中华人民共和国计量法.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,high_quality,readable_chinese_text,2798,2590,0,0,0,0,0,0.9257,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\中华人民共和国计量法.json
中华人民共和国计量法实施细则,中华人民共和国计量法实施细则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\中华人民共和国计量法实施细则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,2-风电电测监督标准,运行、维护、检修,high_quality,readable_chinese_text,6387,5835,0,13,0,0,0,0.9136,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\2-风电电测监督标准\运行、维护、检修\中华人民共和国计量法实施细则.json
1--GB_T 19963-2011 风电场接入电力系统技术规定,1--GB_T 19963-2011 风电场接入电力系统技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\1--GB_T 19963-2011 风电场接入电力系统技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,1--GB_T 19963-2011 风电场接入电力系统技术规定.pdf,mixed_quality,partially_readable,6628,5010,456,615,0,0,3,0.7559,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\1--GB_T 19963-2011 风电场接入电力系统技术规定.json
116--GB 50172-2012 电气装置安装工程蓄电池施工及验收规范,116--GB 50172-2012 电气装置安装工程蓄电池施工及验收规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\116--GB 50172-2012 电气装置安装工程蓄电池施工及验收规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,116--GB 50172-2012 电气装置安装工程蓄电池施工及验收规范.pdf,low_quality,garbled_or_noisy,7832,5189,934,560,9,0,10,0.6625,0.0011,0.0011,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\116--GB 50172-2012 电气装置安装工程蓄电池施工及验收规范.json
14--国家电网设备〔2018〕979号　国家电网有限公司关于印发十八项电网重大反事故措施（修订版）的通知,14--国家电网设备〔2018〕979号　国家电网有限公司关于印发十八项电网重大反事故措施（修订版）的通知.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\14--国家电网设备〔2018〕979号　国家电网有限公司关于印发十八项电网重大反事故措施（修订版）的通知.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,14--国家电网设备〔2018〕979号　国家电网有限公司关于印发十八项电网重大反事故措施（修订版）的通知.pdf,high_quality,readable_chinese_text,214335,157685,2962,24970,19,0,0,0.7357,0.0001,0.0001,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\14--国家电网设备〔2018〕979号 国家电网有限公司关于印发十八项电网重大反事故措施（修订版）的通知.json
17--2018（306号OA）附件4：中国华能集团有限公司风力发电场继电保护及安全自动装置监督标准（2018版）,17--2018（306号OA）附件4：中国华能集团有限公司风力发电场继电保护及安全自动装置监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\17--2018（306号OA）附件4：中国华能集团有限公司风力发电场继电保护及安全自动装置监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,17--2018（306号OA）附件4：中国华能集团有限公司风力发电场继电保护及安全自动装置监督标准（2018版）.pdf,high_quality,readable_chinese_text,91375,71030,2645,7584,20,0,0,0.7773,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\17--2018（306号OA）附件4：中国华能集团有限公司风力发电场继电保护及安全自动装置监督标准（2018版）.json
19--QHN-1-0000.08.049-2015 中国华能集团公司电力技术监督管理办法,19--QHN-1-0000.08.049-2015 中国华能集团公司电力技术监督管理办法.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\19--QHN-1-0000.08.049-2015 中国华能集团公司电力技术监督管理办法.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,19--QHN-1-0000.08.049-2015 中国华能集团公司电力技术监督管理办法.pdf,high_quality,readable_chinese_text,15850,12667,185,1016,0,0,0,0.7992,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\19--QHN-1-0000.08.049-2015 中国华能集团公司电力技术监督管理办法.json
2--NB_T 31003-2011 大型风电场并网设计技术规范,2--NB_T 31003-2011 大型风电场并网设计技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\2--NB_T 31003-2011 大型风电场并网设计技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,2--NB_T 31003-2011 大型风电场并网设计技术规范.pdf,high_quality,readable_chinese_text,9810,7340,704,844,3,0,1,0.7482,0.0003,0.0003,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\2--NB_T 31003-2011 大型风电场并网设计技术规范.json
20--调继【2005】222号 国家电网公司十八项电网重大反事故措施（试行）继电保护专业重点实施要求,20--调继【2005】222号 国家电网公司十八项电网重大反事故措施（试行）继电保护专业重点实施要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\20--调继【2005】222号 国家电网公司十八项电网重大反事故措施（试行）继电保护专业重点实施要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,20--调继【2005】222号 国家电网公司十八项电网重大反事故措施（试行）继电保护专业重点实施要求.pdf,high_quality,readable_chinese_text,22931,18775,242,1651,0,0,0,0.8188,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\20--调继【2005】222号 国家电网公司十八项电网重大反事故措施（试行）继电保护专业重点实施要求.json
26--DL_T_5383-2007 风力发电场设计技术规范,26--DL_T_5383-2007 风力发电场设计技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\26--DL_T_5383-2007 风力发电场设计技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,26--DL_T_5383-2007 风力发电场设计技术规范.pdf,high_quality,readable_chinese_text,2825,2443,17,129,0,0,0,0.8648,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\26--DL_T_5383-2007 风力发电场设计技术规范.json
5--GB_T 14285-2006 继电保护和安全自动装置技术规程,5--GB_T 14285-2006 继电保护和安全自动装置技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\5--GB_T 14285-2006 继电保护和安全自动装置技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,5--GB_T 14285-2006 继电保护和安全自动装置技术规程.pdf,mixed_quality,partially_readable,48619,38574,1715,3376,0,0,7,0.7934,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\5--GB_T 14285-2006 继电保护和安全自动装置技术规程.json
57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件,57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.pdf,high_quality,readable_chinese_text,10143,6561,819,1440,2,0,1,0.6469,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.json
69--DLT 781-2001电力用高频开关整流模块,69--DLT 781-2001电力用高频开关整流模块.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\69--DLT 781-2001电力用高频开关整流模块.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,69--DLT 781-2001电力用高频开关整流模块.pdf,high_quality,readable_chinese_text,5608,3597,557,665,1,0,0,0.6414,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\69--DLT 781-2001电力用高频开关整流模块.json
9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程,9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.pdf,mixed_quality,partially_readable,10978,8701,904,846,48,0,8,0.7926,0.0044,0.0044,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.json
DLT 1074-2019电力用直流和交流一体化不间断电源,DLT 1074-2019电力用直流和交流一体化不间断电源.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\DLT 1074-2019电力用直流和交流一体化不间断电源.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,DLT 1074-2019电力用直流和交流一体化不间断电源.pdf,high_quality,readable_chinese_text,27864,17922,2446,3381,10,0,2,0.6432,0.0004,0.0004,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\DLT 1074-2019电力用直流和交流一体化不间断电源.json
